Price List,,
Type,Item,Price
,4 Ply 2x6x14' Treated Bottom, $103.00 
,4 Ply 2x6x16' Treated Bottom, $118.00 
,4 Ply 2x6x18' Treated Bottom, $133.00 
,4 Ply 2x6x20' Treated Bottom, $148.00 
,4 Ply 2x6x22' Treated Bottom, $163.00 
,4 Ply 2x6x24' Treated Bottom, $177.00 
,4 Ply 2x6x26' Treated Bottom, $192.00 
,4 Ply 2x6x28' Treated Bottom, $210.00 
,4 Ply 2x6x30' Treated Bottom, $225.00 
,4 Ply 2x6x32' Treated Bottom, $240.00 
,4 Ply 2x6x34' Treated Bottom, $255.00 
,3 Ply 2x8x12' Treated Bottom, $87.00 
,3 Ply 2x8x14' Treated Bottom, $102.00 
,3 Ply 2x8x16' Treated Bottom, $116.00 
,3 Ply 2x8x18' Treated Bottom, $131.00 
,3 Ply 2x8x20' Treated Bottom, $145.00 
,3 Ply 2x8x22' Treated Bottom, $160.00 
,3 Ply 2x8x24' Treated Bottom, $188.00 
,3 Ply 2x8x26' Treated Bottom, $204.00 
,3 Ply 2x8x28' Treated Bottom, $220.00 
,3 Ply 2x8x30' Treated Bottom, $235.00 
,3 Ply 2x8x32' Treated Bottom, $351.00 
,3 Ply 2x8x34' Treated Bottom, $367.00 
,4 Ply 2x8x12' Treated Bottom, $100.00 
,4 Ply 2x8x14' Treated Bottom, $130.00 
,4 Ply 2x8x16' Treated Bottom, $148.00 
,4 Ply 2x8x18' Treated Bottom, $166.00 
,4 Ply 2x8x20' Treated Bottom, $185.00 
,4 Ply 2x8x22' Treated Bottom, $204.00 
,4 Ply 2x8x24' Treated Bottom, $222.00 
,4 Ply 2x8x26' Treated Bottom, $246.00 
,4 Ply 2x8x28' Treated Bottom, $265.00 
,4 Ply 2x8x30' Treated Bottom, $283.00 
,4 Ply 2x8x32' Treated Bottom, $302.00 
,4 Ply 2x8x34' Treated Bottom, $321.00 
,,
,24 ga Roof Standing Seam with trim (Elite Metal Supplies), $7.20 
,26 ga Roof Standing Seam with trim (Elite Metal Supplies), $5.00 
,26ga Steel Siding with trim sqft (Elite Metal Supplies), $5.80 
,Standing Seam sqft (Elite Metal Supplies), $2.60 
,"10"" Steel Board & Batt per sqft", $3.00 
,Triad Pacific Rib per sqft, $1.20 
,Triad Post Rib per sqft, $1.13 
,"Triad vented soffit 11 5/8"" ", $3.33 
, Triad Gable Trim 10', $26.92 
,Triad Drip Edge 10', $14.54 
,Triad 5 1/2 Fascia 10', $15.62 
,Triad Eave Trim 10', $15.64 
,Triad End wall 10', $24.13 
,Triad Drip Flash 10', $9.12 
,Triad Ridge Cap 10', $26.17 
,Triad W Valley 10', $36.19 
,Triad Hip Cap 10', $27.35 
,Triad Mini Angle 10', $6.61 
,Triad Outside Corner 10', $21.80 
,Triad Inside Corner 10', $28.12 
,Triad J Channel 10', $8.90 
,Triad  F J Combo 10', $19.00 
,"Triad 2"" Face J Channel 10'", $13.60 
,"Triad 2"" Face F J Combo 10'", $23.00 
,Triad F Channel 10', $13.40 
,Triad Highside Trim 10', $25.00 
,Triad Sidewall 10', $24.13 
,Triad Double Angle 10', $9.76 
